	z_coordinate_0	z_coordinate_1
321	-1.3204547	0.9873687
322	-1.0965747	1.6769465
323	0.7179476	1.9523408
324	-1.6650459	2.501795
325	-8.871576	0.027344674
326	3.07496	3.4723852
327	-1.9135114	2.167713
328	-1.420601	3.5656185
329	-1.7809145	0.24867654
330	-4.8653855	-0.5278481
331	-2.051088	3.8817284
332	-3.8777862	5.4495754
333	0.6435656	2.0285974
334	1.2798523	5.404909
335	-5.3940973	0.35380143
336	-6.9674397	0.25727478
337	-3.160411	3.704532
338	-5.026924	2.2718632
339	-4.0991063	-0.6251488
340	3.3121202	4.862454
341	-7.589759	1.5681167
342	-2.527223	3.085295
343	-5.8536334	1.9998982
344	1.6843505	4.310369
345	-0.591219	3.099345
346	-4.512983	1.7629356
347	0.74242485	2.1648378
348	-0.46639103	6.616573
349	-1.2563297	5.4226637
350	0.23525994	2.9932206
351	-1.0001557	4.6830597
352	-8.0899515	0.14556643
353	-2.1632907	2.989218
354	-1.9726155	1.8614123
355	-1.7295862	3.7124684
356	-8.130446	-2.560731
357	-0.22947662	4.430586
358	-0.10917626	1.5905781
359	0.8507575	5.982768
360	-3.884387	2.5457091
361	-1.6876957	0.9829713
362	-2.041037	4.0367403
363	-3.0315592	3.9019077
364	-8.833096	-2.2659214
365	-0.47810364	1.9581671
366	-4.0393896	1.4997655
367	-1.6158172	0.066732466
368	-1.5687828	0.16542676
369	-2.5254602	2.1310134
370	-4.300575	-1.7112792
371	-2.736413	2.3546336
372	1.4785148	4.733579
373	-4.018388	3.7112994
374	1.3684309	4.936455
375	0.09117238	5.1660433
376	-2.0287867	1.8515921
377	-0.053758234	2.8263328
378	0.9109429	4.543736
379	-3.0090497	2.149085
380	-0.34322506	5.061578
381	3.5408063	4.044549
382	3.3407087	6.026978
383	-6.518067	-1.0199074
384	-4.504101	3.5902674
385	-7.826593	-3.4058838
386	0.31006837	1.6814064
387	-1.1949178	3.42998
388	-6.843718	0.9982557
389	3.5772069	6.4677935
390	1.0438153	3.74797
391	-4.490086	5.574217
392	-0.002023086	1.4715792
393	0.32661754	4.4628773
394	-0.22187608	0.35241088
395	2.780734	5.134085
396	0.71556795	2.6727474
397	-1.8776227	2.9611194
398	-1.8301157	0.043857932
399	-6.638551	0.99398303
400	-8.724342	-1.5284984
401	-0.6630763	0.5433416
402	-5.606313	-0.18718335
403	0.33875906	3.3541286
404	-0.095308766	1.295848
405	0.97568333	2.283688
406	-3.180477	5.737693
407	2.5891929	3.6774929
