	log_likelihood
1357	32.43826
1358	31.887634
1359	32.30183
1360	31.87946
1361	31.187817
1362	32.67344
1363	30.078735
1364	32.290524
1365	31.673908
1366	31.379965
1367	31.164246
1368	32.615654
1369	32.673164
1370	32.512226
1371	32.549824
1372	32.261097
1373	28.684855
1374	31.776867
1375	31.912897
1376	30.804577
1377	32.136826
1378	32.02348
1379	31.850794
1380	32.463844
1381	32.75411
1382	32.318016
1383	32.26011
1384	32.64128
1385	32.670822
1386	32.464844
1387	31.015036
1388	32.519737
1389	32.307854
1390	32.37243
1391	32.629524
1392	32.13001
1393	32.628544
1394	31.6884
1395	32.439625
1396	31.519495
1397	32.064068
1398	29.230396
1399	32.200397
1400	29.776615
1401	27.600534
1402	29.221462
1403	30.057184
1404	30.06359
1405	29.657648
1406	29.905441
1407	30.079208
1408	28.67927
1409	27.890186
1410	29.838736
1411	29.283743
1412	29.815964
1413	28.69129
1414	29.043009
1415	28.862188
1416	29.966705
1417	30.016088
1418	30.185322
1419	30.253672
1420	29.21607
1421	28.753407
1422	29.612
1423	29.577938
1424	29.863071
1425	29.25109
1426	29.814264
1427	29.754395
1428	29.298737
1429	28.82069
1430	29.555552
1431	29.822927
1432	30.060581
1433	29.410755
1434	29.763983
1435	29.430994
1436	29.581701
1437	29.883245
1438	29.725277
1439	29.868494
1440	27.65307
1441	29.527197
1442	29.453754
1443	28.395844
1444	29.550283
1445	28.588928
1446	29.76239
1447	29.958776
1448	30.22232
1449	29.260784
1450	28.829075
1451	29.568415
1452	29.673346
1453	30.120846
1454	29.018707
1455	30.209473
1456	29.23479
1457	29.818186
1458	29.195621
1459	29.965694
1460	30.072826
1461	29.692602
1462	30.00242
1463	29.88197
1464	29.601215
1465	29.797161
1466	30.376226
1467	28.755932
1468	29.744436
1469	28.875156
1470	29.537548
1471	30.09852
1472	29.708994
1473	28.886368
1474	29.550741
1475	28.938278
1476	30.047558
1477	29.91102
1478	29.730377
1479	28.74589
1480	29.496006
1481	30.172735
1482	29.48415
