	log_likelihood
828	313.5832
829	199.44943
830	328.98965
831	214.48665
832	292.3422
833	318.2657
834	259.6347
835	258.7254
836	307.6927
837	241.95706
838	286.5141
839	319.26895
840	318.64807
841	169.47713
842	311.61197
843	322.6324
844	238.47586
845	288.22433
846	318.00763
847	327.2317
848	310.72507
849	285.1034
850	312.3145
851	286.49286
852	298.88126
853	297.4543
854	311.99014
855	323.388
856	299.56097
857	307.79852
858	287.4925
859	268.55197
860	254.97392
861	243.93933
862	303.4894
863	313.59308
864	313.6945
865	294.92743
866	305.88007
867	302.8937
868	282.10748
869	304.47217
870	248.72778
871	295.77792
872	266.41916
873	311.49658
874	311.782
875	295.31107
876	328.17392
877	273.28134
878	314.06265
879	279.7868
880	329.8662
881	326.64615
882	309.6045
883	278.23907
884	258.1384
885	248.47949
886	264.69476
887	305.47525
888	178.49362
889	277.8168
890	299.68893
891	265.71082
892	310.55045
893	275.11557
894	295.21118
895	283.06848
896	213.0596
897	307.51535
898	299.18982
899	281.45743
900	321.3978
901	265.27246
902	268.58386
903	234.25333
904	293.11902
905	198.49092
906	305.61362
907	326.9908
908	184.46017
909	301.42517
910	287.01462
911	303.93036
912	303.19327
913	330.22525
914	310.91455
915	270.9691
916	259.93384
917	319.68793
918	293.55875
919	290.7793
920	274.2054
921	283.3393
922	266.1726
923	282.6237
924	328.06366
925	250.03313
926	39.870422
927	308.83438
928	282.4295
929	288.24524
930	231.93428
931	264.34903
932	278.04163
933	298.40305
934	311.05417
935	253.18282
936	325.0073
937	317.67563
938	314.8988
939	253.15181
940	321.2326
941	289.30966
942	223.24126
943	318.12103
944	323.28357
945	323.46155
946	261.2517
947	317.30542
948	250.25293
949	270.26007
950	314.4493
951	297.02203
952	183.58223
953	293.7603
954	301.25018
955	303.1425
956	143.27098
957	261.84302
958	295.5216
959	270.52435
960	251.93872
961	311.35886
962	334.774
963	254.72934
964	298.91644
965	315.42123
966	283.0416
967	327.358
968	301.5249
969	310.1092
970	255.95796
971	250.88643
972	294.09415
973	258.71008
974	320.1897
975	327.83722
976	295.8447
977	318.17792
978	276.43695
979	269.65637
980	265.5023
981	326.69458
982	182.03604
983	271.1676
984	305.72632
985	303.21902
986	334.18985
987	289.5844
988	308.00912
989	302.01752
990	314.40985
991	288.6057
992	306.18085
993	304.63953
994	324.6643
995	292.58734
996	324.37396
997	246.01465
998	297.6666
999	313.53183
1000	292.40265
1001	284.70074
1002	303.59726
1003	301.8454
1004	126.90627
1005	270.63654
1006	325.90817
1007	328.78925
1008	271.27045
1009	195.73111
1010	278.0771
1011	309.05606
1012	252.36743
1013	296.73
1014	315.46436
1015	306.91092
1016	320.50943
1017	283.16843
1018	320.75482
1019	319.39374
